id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
67,PEKUTATAN,PANGYANGAN,003B,51,01,040,004,5101040004003B
67,PEKUTATAN,GUMBRIH,001B,51,01,040,005,5101040005001B
67,PEKUTATAN,GUMBRIH,002B,51,01,040,005,5101040005002B
67,PEKUTATAN,GUMBRIH,003B,51,01,040,005,5101040005003B
67,PEKUTATAN,GUMBRIH,004B,51,01,040,005,5101040005004B
67,PEKUTATAN,GUMBRIH,005B,51,01,040,005,5101040005005B
68,NEGARA,CUPEL,004B,51,01,020,001,5101020001004B
68,NEGARA,CUPEL,007B,51,01,020,001,5101020001007B
68,NEGARA,CUPEL,010B,51,01,020,001,5101020001010B
68,NEGARA,TEGAL BADENG BARAT,010B,51,01,020,002,5101020002010B
68,NEGARA,TEGAL BADENG TIMUR,001B,51,01,020,003,5101020003001B
68,NEGARA,TEGAL BADENG TIMUR,003B,51,01,020,003,5101020003003B
69,NEGARA,PENGAMBENGAN,012B,51,01,020,004,5101020004012B
69,NEGARA,PENGAMBENGAN,014B,51,01,020,004,5101020004014B
69,NEGARA,PENGAMBENGAN,017B,51,01,020,004,5101020004017B
69,NEGARA,PENGAMBENGAN,019B,51,01,020,004,5101020004019B
69,NEGARA,PENGAMBENGAN,022B,51,01,020,004,5101020004022B
69,NEGARA,PENGAMBENGAN,025B,51,01,020,004,5101020004025B
70,NEGARA,LOLOAN BARAT,004B,51,01,020,012,5101020012004B
70,NEGARA,LOLOAN BARAT,007B,51,01,020,012,5101020012007B
70,NEGARA,LOLOAN BARAT,009B,51,01,020,012,5101020012009B
70,NEGARA,LELATENG,003B,51,01,020,013,5101020013003B
70,NEGARA,LELATENG,010B,51,01,020,013,5101020013010B
70,NEGARA,LELATENG,014B,51,01,020,013,5101020013014B
71,NEGARA,LELATENG,017B,51,01,020,013,5101020013017B
71,NEGARA,LELATENG,022B,51,01,020,013,5101020013022B
71,NEGARA,LELATENG,025B,51,01,020,013,5101020013025B
71,NEGARA,BANJAR TENGAH,002B,51,01,020,014,5101020014002B
71,NEGARA,BANJAR TENGAH,006B,51,01,020,014,5101020014006B
71,NEGARA,BANJAR TENGAH,011B,51,01,020,014,5101020014011B
72,NEGARA,BALUK,002B,51,01,020,015,5101020015002B
72,NEGARA,BALUK,007B,51,01,020,015,5101020015007B
72,NEGARA,BALUK,010B,51,01,020,015,5101020015010B
72,NEGARA,BALUK,012B,51,01,020,015,5101020015012B
72,NEGARA,BALUK,015B,51,01,020,015,5101020015015B
72,NEGARA,BANYUBIRU,002B,51,01,020,016,5101020016002B
73,NEGARA,BANYUBIRU,005B,51,01,020,016,5101020016005B
73,NEGARA,BANYUBIRU,008B,51,01,020,016,5101020016008B
73,NEGARA,BANYUBIRU,015B,51,01,020,016,5101020016015B
73,NEGARA,BANYUBIRU,017B,51,01,020,016,5101020016017B
73,NEGARA,BANYUBIRU,020B,51,01,020,016,5101020016020B
73,NEGARA,BANYUBIRU,022B,51,01,020,016,5101020016022B
74,NEGARA,KALIAKAH,003B,51,01,020,017,5101020017003B
74,NEGARA,KALIAKAH,013B,51,01,020,017,5101020017013B
74,NEGARA,KALIAKAH,016B,51,01,020,017,5101020017016B
74,NEGARA,KALIAKAH,018B,51,01,020,017,5101020017018B
74,NEGARA,BERANGBANG,001B,51,01,020,018,5101020018001B
74,NEGARA,BERANGBANG,004B,51,01,020,018,5101020018004B
75,NEGARA,BERANGBANG,008B,51,01,020,018,5101020018008B
75,NEGARA,BERANGBANG,012B,51,01,020,018,5101020018012B
75,NEGARA,BERANGBANG,015B,51,01,020,018,5101020018015B
75,NEGARA,BALER BALE AGUNG,004B,51,01,020,019,5101020019004B
75,NEGARA,BALER BALE AGUNG,008B,51,01,020,019,5101020019008B
75,NEGARA,BALER BALE AGUNG,011B,51,01,020,019,5101020019011B
76,PEKUTATAN,MEDEWI,001B,51,01,040,001,5101040001001B
76,PEKUTATAN,MEDEWI,003B,51,01,040,001,5101040001003B
76,PEKUTATAN,MEDEWI,004B,51,01,040,001,5101040001004B
76,PEKUTATAN,MEDEWI,005B,51,01,040,001,5101040001005B
76,PEKUTATAN,MEDEWI,006B,51,01,040,001,5101040001006B
76,PEKUTATAN,PULUKAN,003B,51,01,040,002,5101040002003B
77,PEKUTATAN,PULUKAN,006B,51,01,040,002,5101040002006B
77,PEKUTATAN,PULUKAN,009B,51,01,040,002,5101040002009B
77,PEKUTATAN,PEKUTATAN,002B,51,01,040,003,5101040003002B
77,PEKUTATAN,PEKUTATAN,007B,51,01,040,003,5101040003007B
77,PEKUTATAN,PEKUTATAN,010B,51,01,040,003,5101040003010B
77,PEKUTATAN,PANGYANGAN,001B,51,01,040,004,5101040004001B
78,NEGARA,PENGAMBENGAN,001B,51,01,020,004,5101020004001B
78,NEGARA,PENGAMBENGAN,003B,51,01,020,004,5101020004003B
78,NEGARA,PENGAMBENGAN,005B,51,01,020,004,5101020004005B
78,NEGARA,PENGAMBENGAN,008B,51,01,020,004,5101020004008B
78,NEGARA,PENGAMBENGAN,010B,51,01,020,004,5101020004010B
