id_tim,Kecamatan,Desa/Kelurahan,Blok Sensus,id_prov,id_kab,id_kec,id_kel,id_bs
91,DAWAN,PAKSEBALI,009B,51,05,040,009,5105040009009B
91,DAWAN,PAKSEBALI,010B,51,05,040,009,5105040009010B
91,DAWAN,DAWAN KALER,001B,51,05,040,010,5105040010001B
91,DAWAN,DAWAN KALER,002B,51,05,040,010,5105040010002B
91,DAWAN,DAWAN KALER,003B,51,05,040,010,5105040010003B
91,DAWAN,DAWAN KALER,005B,51,05,040,010,5105040010005B
92,KLUNGKUNG,TOJAN,006B,51,05,030,002,5105030002006B
92,KLUNGKUNG,TOJAN,008B,51,05,030,002,5105030002008B
92,KLUNGKUNG,GELGEL,009B,51,05,030,003,5105030003009B
92,KLUNGKUNG,GELGEL,008B,51,05,030,003,5105030003008B
92,KLUNGKUNG,GELGEL,011B,51,05,030,003,5105030003011B
92,KLUNGKUNG,GELGEL,015B,51,05,030,003,5105030003015B
93,KLUNGKUNG,TEGAK,006B,51,05,030,017,5105030017006B
93,KLUNGKUNG,TEGAK,010B,51,05,030,017,5105030017010B
93,KLUNGKUNG,TEGAK,011B,51,05,030,017,5105030017011B
93,KLUNGKUNG,TEGAK,008B,51,05,030,017,5105030017008B
93,KLUNGKUNG,SELISIHAN,001B,51,05,030,018,5105030018001B
93,KLUNGKUNG,SELISIHAN,003B,51,05,030,018,5105030018003B
94,DAWAN,KUSAMBA,013B,51,05,040,001,5105040001013B
94,DAWAN,KUSAMBA,017B,51,05,040,001,5105040001017B
94,DAWAN,KUSAMBA,019B,51,05,040,001,5105040001019B
94,DAWAN,PESINGGAHAN,003B,51,05,040,003,5105040003003B
94,DAWAN,PESINGGAHAN,006B,51,05,040,003,5105040003006B
94,DAWAN,PESINGGAHAN,011B,51,05,040,003,5105040003011B
95,DAWAN,DAWAN KLOD,004B,51,05,040,004,5105040004004B
95,DAWAN,DAWAN KLOD,008B,51,05,040,004,5105040004008B
95,DAWAN,GUNAKSA,011B,51,05,040,005,5105040005011B
95,DAWAN,GUNAKSA,007B,51,05,040,005,5105040005007B
95,DAWAN,GUNAKSA,005B,51,05,040,005,5105040005005B
95,DAWAN,GUNAKSA,017B,51,05,040,005,5105040005017B
96,KLUNGKUNG,KAMPUNG GELGEL,002B,51,05,030,004,5105030004002B
96,KLUNGKUNG,JUMPAI,002B,51,05,030,005,5105030005002B
96,KLUNGKUNG,TANGKAS,004B,51,05,030,006,5105030006004B
96,KLUNGKUNG,TANGKAS,009B,51,05,030,006,5105030006009B
96,KLUNGKUNG,KAMASAN,001B,51,05,030,007,5105030007001B
96,KLUNGKUNG,KAMASAN,003B,51,05,030,007,5105030007003B
97,KLUNGKUNG,KAMASAN,005B,51,05,030,007,5105030007005B
97,KLUNGKUNG,KAMASAN,010B,51,05,030,007,5105030007010B
97,KLUNGKUNG,SEMARAPURA KELOD,022B,51,05,030,008,5105030008022B
97,KLUNGKUNG,SEMARAPURA KELOD,028B,51,05,030,008,5105030008028B
97,KLUNGKUNG,SEMARAPURA KELOD,032B,51,05,030,008,5105030008032B
97,KLUNGKUNG,SEMARAPURA KELOD KANGIN,003B,51,05,030,009,5105030009003B
98,KLUNGKUNG,SEMARAPURA KELOD KANGIN,007B,51,05,030,009,5105030009007B
98,KLUNGKUNG,SEMARAPURA KELOD KANGIN,009B,51,05,030,009,5105030009009B
98,KLUNGKUNG,SEMARAPURA KELOD KANGIN,012B,51,05,030,009,5105030009012B
98,KLUNGKUNG,SEMARAPURA KELOD KANGIN,021B,51,05,030,009,5105030009021B
98,KLUNGKUNG,SEMARAPURA KELOD KANGIN,022B,51,05,030,009,5105030009022B
98,KLUNGKUNG,SEMARAPURA KANGIN,003B,51,05,030,010,5105030010003B
99,KLUNGKUNG,SEMARAPURA TENGAH,005B,51,05,030,011,5105030011005B
99,KLUNGKUNG,SEMARAPURA TENGAH,011B,51,05,030,011,5105030011011B
99,KLUNGKUNG,SEMARAPURA KAUH,003B,51,05,030,012,5105030012003B
99,KLUNGKUNG,SEMARAPURA KAUH,005B,51,05,030,012,5105030012005B
99,KLUNGKUNG,SEMARAPURA KAJA,002B,51,05,030,013,5105030013002B
99,KLUNGKUNG,SEMARAPURA KAJA,003B,51,05,030,013,5105030013003B
100,KLUNGKUNG,SEMARAPURA KAJA,005B,51,05,030,013,5105030013005B
100,KLUNGKUNG,AKAH,002B,51,05,030,014,5105030014002B
100,KLUNGKUNG,AKAH,009B,51,05,030,014,5105030014009B
100,KLUNGKUNG,AKAH,014B,51,05,030,014,5105030014014B
100,KLUNGKUNG,MANDUANG,001B,51,05,030,015,5105030015001B
100,KLUNGKUNG,MANDUANG,004B,51,05,030,015,5105030015004B
101,KLUNGKUNG,SELAT,002B,51,05,030,016,5105030016002B
101,KLUNGKUNG,SELAT,007B,51,05,030,016,5105030016007B
101,KLUNGKUNG,SELAT,010B,51,05,030,016,5105030016010B
101,KLUNGKUNG,TEGAK,002B,51,05,030,017,5105030017002B
102,DAWAN,SAMPALAN KLOD,002B,51,05,040,006,5105040006002B
102,DAWAN,SAMPALAN KLOD,007B,51,05,040,006,5105040006007B
102,DAWAN,SULANG,001B,51,05,040,008,5105040008001B
102,DAWAN,PAKSEBALI,004B,51,05,040,009,5105040009004B
102,DAWAN,PAKSEBALI,005B,51,05,040,009,5105040009005B
